filename,goanna_result,intended_fix,chameleon,ghc_loc,ghc_diagnosis,ghc_fix,goanna_acc_1,goanna_acc_2,goanna_acc_3,goanna_acc_4,goanna_acc_5,goanna_locs_1,goanna_locs_2,goanna_locs_3,goanna_locs_4,goanna_locs_5,response_time
makeEven.hs,2,1,3,True,True,False,True,True,True,True,True,1,3,3,3,3,0.16240191459655762
listFunctions.hs,4,1,7,True,False,False,True,True,True,True,True,1,2,4,5,5,0.39415597915649414
totalArea.hs,2,2,4,False,False,False,False,True,True,True,True,1,2,2,2,2,0.19248199462890625
transFromKey.hs,4,1,9,True,True,False,True,True,True,True,True,1,2,7,11,11,4.179111957550049
distance.hs,3,2,3,True,False,False,False,True,True,True,True,1,2,3,3,3,0.3244650363922119
isEven.hs,7,1,11,False,False,False,True,True,True,True,True,3,4,6,7,8,1.1314780712127686
numberTypes.hs,4,2,5,False,False,False,False,True,True,True,True,1,2,3,4,4,0.142852783203125
ucon.hs,12,2,12,False,False,False,False,True,True,True,True,2,3,5,7,7,1.4352493286132812
test.hs,4,2,4,False,False,False,False,True,True,True,True,3,4,5,6,6,0.19687104225158691
either2.hs,3,2,4,False,False,False,False,True,True,True,True,1,3,4,4,4,0.22684311866760254
StateMonad.hs,3,1,3,False,False,False,True,True,True,True,True,1,2,3,3,3,0.15397191047668457
rockpaperscissors.hs,7,1,8,True,True,False,True,True,True,True,True,1,3,4,5,5,5.58024001121521
xml.hs,4,4,5,False,False,False,False,False,False,True,True,1,2,3,4,4,0.49406981468200684
listFunctions2.hs,2,1,6,False,False,False,True,True,True,True,True,1,2,2,2,2,0.3161468505859375
fizzbuzz.hs,11,1,8,True,True,False,True,True,True,True,True,1,4,8,9,10,1.6813380718231201
functor.hs,2,2,4,False,False,False,False,True,True,True,True,1,2,2,2,2,0.1424729824066162
quickSort.hs,5,1,7,False,False,False,True,True,True,True,True,1,3,4,5,5,1.2489309310913086
getSalary2.hs,3,1,9,False,False,False,True,True,True,True,True,1,2,3,6,7,0.32073187828063965
replicate.hs,2,2,5,False,False,False,False,True,True,True,True,1,2,2,2,2,0.14163827896118164
listFunctions3.hs,7,2,7,True,False,False,False,True,True,True,True,1,3,4,5,5,0.513375997543335
grade2.hs,2,2,6,False,False,False,False,True,True,True,True,2,5,5,5,5,2.4140379428863525
zipWith2.hs,15,3,8,True,True,False,False,False,True,True,True,2,3,4,4,5,0.330035924911499
